homeid,provenance,provenancedetail,energytype,date,reading
180,technician,repair_visit,gas,2018-01-10,14512
181,technician,installation_visit,gas,2017-08-25,3256841
181,technician,repair_visit,electricity,2018-01-12,28760
181,technician,repair_visit,gas,2018-01-12,3992
182,technician,installation_visit,electricity,2017-08-29,53649
182,technician,installation_visit,gas,2017-08-29,29909
182,technician,repair_visit,electricity,2018-01-15,55710
182,technician,repair_visit,gas,2018-01-15,30955
183,technician,installation_visit,electricity,2017-08-30,29304
183,technician,installation_visit,gas,2017-08-30,14910
184,technician,installation_visit,electricity,2017-08-31,1493
184,technician,installation_visit,gas,2017-08-31,4599
185,technician,installation_visit,electricity,2017-09-01,78653
185,technician,installation_visit,gas,2017-09-01,170544
186,technician,installation_visit,electricity,2017-09-08,132
186,technician,installation_visit,gas,2017-09-08,15921
187,technician,installation_visit,electricity,2017-09-04,2423
187,technician,installation_visit,gas,2017-09-04,16041
188,technician,installation_visit,electricity,2017-09-05,59910
188,technician,installation_visit,gas,2017-09-05,7644
189,technician,installation_visit,electricity,2017-09-06,5629
189,technician,installation_visit,gas,2017-09-06,9082
190,technician,installation_visit,electricity,2017-11-14,8465
190,technician,installation_visit,gas,2017-11-14,1856
190,technician,repair_visit,electricity,2018-01-09,8465
190,technician,repair_visit,gas,2018-01-09,1856
191,technician,installation_visit,electricity,2017-09-13,9511
191,technician,installation_visit,gas,2017-09-13,6200
192,technician,installation_visit,electricity,2017-09-13,55631
192,technician,installation_visit,gas,2017-09-13,3164
193,technician,installation_visit,electricity,2017-09-19,48372
193,technician,installation_visit,gas,2017-09-19,12960
194,technician,installation_visit,electricity,2017-09-19,25921
194,technician,installation_visit,gas,2017-09-19,6117
195,technician,installation_visit,electricity,2017-09-20,76531
195,technician,installation_visit,gas,2017-09-20,3431
197,technician,installation_visit,electricity,2017-09-26,35356
197,technician,installation_visit,gas,2017-09-26,7842
199,technician,installation_visit,electricity,2017-09-28,26354
199,technician,installation_visit,gas,2017-09-28,38168
200,technician,installation_visit,electricity,2017-09-28,6476
200,technician,installation_visit,gas,2017-09-28,1924
201,technician,installation_visit,electricity,2017-09-29,94642
201,technician,installation_visit,gas,2017-09-29,5781
202,technician,installation_visit,electricity,2017-09-29,44277
202,technician,installation_visit,gas,2017-09-29,12788
203,technician,installation_visit,electricity,2017-10-02,31842
203,technician,installation_visit,gas,2017-10-02,22243
205,technician,installation_visit,electricity,2017-10-05,66486
205,technician,installation_visit,gas,2017-10-05,375
207,technician,installation_visit,electricity,2017-10-05,89515
207,technician,installation_visit,gas,2017-10-05,6514
208,technician,installation_visit,electricity,2017-10-06,11313
208,technician,installation_visit,gas,2017-10-06,3402
209,technician,installation_visit,electricity,2017-10-20,29328
209,technician,installation_visit,gas,2017-10-20,404
210,technician,installation_visit,electricity,2017-10-09,65892
210,technician,installation_visit,gas,2017-10-09,5305
211,technician,installation_visit,electricity,2017-10-10,32595
211,technician,installation_visit,gas,2017-10-10,31018
212,technician,installation_visit,electricity,2017-10-11,801
212,technician,installation_visit,gas,2017-10-11,2077
213,technician,installation_visit,electricity,2017-10-12,12083
213,technician,installation_visit,gas,2017-10-12,6133
214,technician,installation_visit,electricity,2017-10-12,69246
214,technician,installation_visit,gas,2017-10-12,36491
215,technician,installation_visit,electricity,2017-10-12,22782
215,technician,installation_visit,gas,2017-10-12,5914
215,technician,repair_visit,electricity,2018-01-14,233775
215,technician,repair_visit,gas,2018-01-14,6007
216,technician,installation_visit,electricity,2017-10-13,6072
216,technician,installation_visit,gas,2017-10-13,1301
218,technician,installation_visit,electricity,2017-10-13,40554
218,technician,installation_visit,gas,2017-10-13,2795
219,technician,installation_visit,electricity,2017-10-16,40288
219,technician,installation_visit,gas,2017-10-16,23974
221,technician,installation_visit,electricity,2017-10-17,67178
221,technician,installation_visit,gas,2017-10-17,8926
222,technician,installation_visit,electricity,2017-10-18,6997
222,technician,installation_visit,gas,2017-10-18,190733
222,technician,repair_visit,electricity,2018-03-21,9760
222,technician,repair_visit,gas,2018-03-21,2382
223,technician,installation_visit,electricity,2017-10-18,12587
